==21926== NVPROF is profiling process 21926, command: /home/webml/anaconda3/envs/carlaRL/bin/python ddpg_main.py
==21926== Profiling application: /home/webml/anaconda3/envs/carlaRL/bin/python ddpg_main.py
==21926== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
4.64880s  1.0880us                    -               -         -         -         -  1.0000KB  897.58MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64900s  169.89us                    -               -         -         -         -  517.00KB  2.9022GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64947s     960ns                    -               -         -         -         -        4B  3.9736MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64953s     800ns                    -               -         -         -         -  1.0000KB  1.1921GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64959s  84.610us                    -               -         -         -         -  256.00KB  2.8855GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64979s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64984s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.64988s  42.817us                    -               -         -         -         -  128.00KB  2.8510GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65000s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65005s     768ns                    -               -         -         -         -      256B  317.89MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65009s  11.488us                    -               -         -         -         -  32.000KB  2.6565GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65021s     800ns                    -               -         -         -         -        4B  4.7684MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65026s     768ns                    -               -         -         -         -        8B  9.9341MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65030s     800ns                    -               -         -         -         -      512B  610.35MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65034s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65038s     800ns                    -               -         -         -         -  1.0000KB  1.1921GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65042s     736ns                    -               -         -         -         -        4B  5.1830MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65047s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65051s     800ns                    -               -         -         -         -  1.0000KB  1.1921GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65055s     736ns                    -               -         -         -         -        4B  5.1830MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65058s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65062s     800ns                    -               -         -         -         -      512B  610.35MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65066s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65069s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65073s     800ns                    -               -         -         -         -      256B  305.18MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65077s     736ns                    -               -         -         -         -        4B  5.1830MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65081s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65084s     768ns                    -               -         -         -         -        8B  9.9341MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65089s     800ns                    -               -         -         -         -        4B  4.7684MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65092s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65097s     832ns                    -               -         -         -         -  1.5625KB  1.7910GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65104s  264.87us                    -               -         -         -         -  807.81KB  2.9086GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65140s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65145s     800ns                    -               -         -         -         -  1.1719KB  1.3970GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65152s  154.76us                    -               -         -         -         -  471.09KB  2.9031GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65193s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65200s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65205s  49.985us                    -               -         -         -         -  150.00KB  2.8619GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65216s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65221s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65225s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65229s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65233s     832ns                    -               -         -         -         -  1.5625KB  1.7910GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65237s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65241s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65244s     800ns                    -               -         -         -         -  1.1719KB  1.3970GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65249s     960ns                    -               -         -         -         -        4B  3.9736MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65252s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65256s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65260s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65263s     736ns                    -               -         -         -         -        4B  5.1830MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65267s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65271s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65274s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65279s     768ns                    -               -         -         -         -      128B  158.95MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65283s     768ns                    -               -         -         -         -      256B  317.89MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65287s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65291s     800ns                    -               -         -         -         -  1.0000KB  1.1921GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65295s     864ns                    -               -         -         -         -  2.0000KB  2.2076GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65300s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65303s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65307s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65310s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65315s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65318s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65322s     736ns                    -               -         -         -         -        4B  5.1830MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65326s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65330s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65333s     800ns                    -               -         -         -         -        4B  4.7684MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65337s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65341s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65345s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65348s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65352s     800ns                    -               -         -         -         -        4B  4.7684MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65355s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65360s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65363s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65367s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65370s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65374s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65378s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65382s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65385s     768ns                    -               -         -         -         -        4B  4.9671MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65389s     768ns                    -               -         -         -         -      128B  158.95MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65393s     800ns                    -               -         -         -         -      128B  152.59MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65397s     800ns                    -               -         -         -         -      128B  152.59MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65401s     864ns                    -               -         -         -         -      128B  141.29MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65404s     800ns                    -               -         -         -         -      128B  152.59MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65408s     800ns                    -               -         -         -         -      128B  152.59MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65412s     800ns                    -               -         -         -         -      256B  305.18MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65415s     896ns                    -               -         -         -         -      256B  272.48MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65419s     768ns                    -               -         -         -         -      256B  317.89MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65423s     800ns                    -               -         -         -         -      256B  305.18MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65427s     768ns                    -               -         -         -         -      256B  317.89MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65430s     800ns                    -               -         -         -         -      256B  305.18MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65434s     800ns                    -               -         -         -         -      512B  610.35MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65438s     800ns                    -               -         -         -         -      512B  610.35MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65441s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65446s     800ns                    -               -         -         -         -      512B  610.35MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65450s     768ns                    -               -         -         -         -      512B  635.78MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65454s  1.0880us                    -               -         -         -         -      512B  448.79MB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65457s     832ns                    -               -         -         -         -  1.0000KB  1.1462GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65461s     832ns                    -               -         -         -         -  1.0000KB  1.1462GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65465s     832ns                    -               -         -         -         -  1.0000KB  1.1462GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65468s     960ns                    -               -         -         -         -  1.0000KB  0.9934GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65472s     800ns                    -               -         -         -         -  1.0000KB  1.1921GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65476s     800ns                    -               -         -         -         -  1.0000KB  1.1921GB/s      Pinned      Device  GeForce RTX 208         1        15  [CUDA memcpy HtoD]
4.65671s     800ns                    -               -         -         -         -  1.0039KB  1.1967GB/s      Device           -  GeForce RTX 208         1         7  [CUDA memset]
4.65776s  2.4960us                    -               -         -         -         -  1.0000KB  391.25MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65779s  1.1840us                    -               -         -         -         -  1.0000KB  824.80MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65782s  1.0560us                    -               -         -         -         -  1.0000KB  924.78MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65784s  2.9120us                    -               -         -         -         -  517.00KB  169.32GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65787s  2.3360us                    -               -         -         -         -  517.00KB  211.07GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65791s  4.0960us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [843]
4.65794s  1.0560us                    -               -         -         -         -  1.0000KB  924.78MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65797s  1.0560us                    -               -         -         -         -  1.0000KB  924.78MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65799s  1.0560us                    -               -         -         -         -  1.0000KB  924.78MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65801s  2.5600us                    -               -         -         -         -  256.00KB  95.367GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65803s  1.6960us                    -               -         -         -         -  256.00KB  143.95GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65806s  3.0400us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [849]
4.65808s  1.1840us                    -               -         -         -         -      512B  412.40MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65811s  1.0560us                    -               -         -         -         -      512B  462.39MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65813s  1.0560us                    -               -         -         -         -      512B  462.39MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65815s  1.6320us                    -               -         -         -         -  128.00KB  74.798GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65818s  1.2160us                    -               -         -         -         -  128.00KB  100.39GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65820s  2.9760us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [855]
4.65822s  1.1840us                    -               -         -         -         -      256B  206.20MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65826s  1.0880us                    -               -         -         -         -      256B  224.39MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65828s  1.0560us                    -               -         -         -         -      256B  231.19MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65830s  1.3120us                    -               -         -         -         -  32.000KB  23.260GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65833s  1.0880us                    -               -         -         -         -  32.000KB  28.049GB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65835s  3.0400us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [861]
4.65837s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65840s  1.0560us                    -               -         -         -         -        8B  7.2248MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65842s  1.0240us                    -               -         -         -         -        8B  7.4506MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65844s  1.2160us                    -               -         -         -         -      512B  401.55MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65849s  1.0560us                    -               -         -         -         -      512B  462.39MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65852s  2.3360us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [867]
4.65854s  1.1840us                    -               -         -         -         -  1.0000KB  824.80MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65856s  3.2640us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [869]
4.65859s  1.1840us                    -               -         -         -         -  1.0000KB  824.80MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65861s  3.0400us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [871]
4.65863s  1.1520us                    -               -         -         -         -      512B  423.86MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65865s  2.9760us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [873]
4.65868s  1.1840us                    -               -         -         -         -      256B  206.20MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
4.65870s  2.9760us             (46 1 1)      (1024 1 1)        32        0B        0B         -           -           -           -  GeForce RTX 208         1        14  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>) [875]
4.65873s  1.1840us                    -               -         -         -         -        8B  6.4437MB/s      Device      Device  GeForce RTX 208         1        14  [CUDA memcpy DtoD]
